date,Arb Nbuy,Nonarb Nbuy,Inst Nbuy,Foreign Nbuy,VKOSPI,VIX
2006-07-05,-48.71,54.72,83.41631,-14.38643,24.57,14.15
2006-07-06,-208.01,4.87,-81.75707,-79.07014,24.91,13.65
2006-07-07,-82.75,-14.34,-47.68978,56.12265,23.94,13.97
2006-07-10,390.81,59.11,471.482,-292.10727,24.65,14.02
2006-07-11,-92,56.44,-28.73542,-44.34455,24.75,13.14
2006-07-12,64.04,1.35,127.00899,-172.45558,25.13,14.49
2006-07-13,-191.16,-28.61,-71.79257,-67.41883,26.08,17.79
2006-07-14,-358.19,17.84,-192.48305,-96.22127,26.88,18.05
2006-07-18,-39.66,1.71,81.10528,-87.5655,27.12,17.74
2006-07-19,5.32,10.8,116.38116,-118.29043,26.89,15.55
2006-07-20,278.94,16.71,280.90711,-121.80574,23.88,16.21
2006-07-21,-52.82,23.06,95.29821,-67.18771,24.29,17.4
2006-07-24,-50.3,-12.79,52.37813,-237.2795,25.38,14.98
2006-07-25,300.44,67.06,383.29545,-86.54088,23.74,14.85
2006-07-26,-20.75,13.29,61.86978,-3.82454,23.9,14.62
2006-07-27,296.52,130.87,434.19955,-233.33221,22.88,14.94
2006-07-28,65.23,-0.1,120.35002,-78.65789,22.91,14.33
2006-07-31,-44.34,106.66,-102.97784,113.11525,23.75,14.95
2006-08-01,171.17,49.26,200.06337,-169.5819,23.88,15.05
2006-08-02,135.22,67.57,142.05868,-215.19724,23.59,14.34
2006-08-03,-68.48,15.81,-57.54702,20.82608,22.6,14.46
2006-08-04,160.58,111.02,227.53276,-133.56177,22.1,14.34
2006-08-07,-229.97,79.79,-172.54329,80.29523,23.56,15.23
2006-08-08,403.26,91.75,474.56418,-306.40087,23.43,15.23
2006-08-09,165.48,6.24,155.86662,-85.22824,22.77,15.2
2006-08-10,-343.91,-16.03,-184.88956,-88.50254,23.28,14.46
2006-08-11,30.26,14.52,122.24522,-244.85815,22.98,14.3
2006-08-14,277.96,65.65,315.53845,-259.78257,23.29,14.26
2006-08-16,169.16,20.79,350.12209,-156.86202,20.51,12.41
2006-08-17,49.65,46.73,237.22423,40.30143,19.9,12.24
2006-08-18,39.49,-6.57,2.57695,141.82954,19.23,11.64
2006-08-21,-91.5,-3.37,-26.31352,-48.07736,20.59,12.22
2006-08-22,265.91,55.69,369.93359,-332.11002,19.42,12.19
2006-08-23,-133.92,-71.91,13.04758,-157.66665,19.67,12.4
2006-08-24,-95.45,-49.53,45.74722,-233.63294,19.22,12.4
2006-08-25,181.43,-14.22,244.62454,-163.31616,19.22,12.31
2006-08-28,-10.19,33.13,93.17137,-3.0207,20.06,12.18
2006-08-29,63.18,65.31,154.47061,19.41312,18.2,12.28
2006-08-30,-53.6,42.64,26.42873,-38.22456,18.84,12.22
2006-08-31,333.46,-44.09,422.75491,-125.4424,17.9,12.31
2006-09-01,41.72,6.55,125.00208,-121.50014,17.85,11.96
2006-09-04,10.54,23.2,-53.4547,102.09946,18.07,11.96
2006-09-05,22.81,-34.6,-21.19356,92.66112,18.42,12.63
2006-09-06,-93.87,18.84,-98.86514,136.35912,19.07,13.74
2006-09-07,154.46,37.24,201.82833,-208.2643,19.48,13.88
2006-09-08,142.49,66.29,108.26314,-78.12652,19.31,13.16
2006-09-11,-100.91,75.04,-68.02912,-30.35373,20.46,12.99
2006-09-12,-12.97,78.04,109.03899,-290.46729,21.27,11.92
2006-09-13,-11.75,35.05,-40.15492,0.9632,20.26,11.18
2006-09-14,335.26,18.63,354.39837,-199.37737,18.6,11.55
2006-09-15,-75.48,7.41,149.5308,-210.53407,16.62,11.76
2006-09-18,307.63,-7.28,410.29711,-72.69777,17.25,11.78
2006-09-19,-113.76,69.8,-120.40602,65.85067,17.24,11.98
2006-09-20,108.26,-33.29,134.52904,-355.45366,17.8,11.39
2006-09-21,27.54,30.63,25.408,-62.08,17.85,12.25
2006-09-22,-101.93,57.59,-91.31734,-64.23099,18.25,12.59
2006-09-25,191.4,73.14,343.20985,-295.80551,18.03,12.12
2006-09-26,-228,-29.42,-114.73365,31.10951,18.29,11.53
2006-09-27,332.18,93.73,246.38214,12.39907,17.25,11.58
2006-09-28,89.01,4.29,260.01289,-27.94837,16.85,11.72
2006-09-29,37.1,24.68,98.24332,16.71317,16.71,11.98
2006-10-02,200.18,6.4,176.96354,-56.53979,17.24,12.57
2006-10-04,-222.95,60.91,-122.27712,100.07426,18.24,11.86
2006-10-09,21.87,99.88,127.94251,473.94356,22.65,11.68
2006-10-10,13.72,19.13,7.86084,119.1755,22.25,11.52
2006-10-11,95.72,-67.2,30.45698,26.19029,21.6,11.62
2006-10-12,-44.36,-39.9,0.62021,-137.6945,20.09,11.09
2006-10-13,220.31,57.66,194.06231,-35.29603,18.96,10.75
2006-10-16,21.03,61.61,8.51593,-33.32298,18.5,11.09
2006-10-17,64.28,-18.56,114.83857,-30.30964,18.7,11.73
2006-10-18,233.58,46.01,283.89835,-177.30247,18.71,11.34
2006-10-19,9.46,51.14,11.95703,-48.91278,18.85,10.9
2006-10-20,155.38,-81.27,98.04433,-175.02531,17.77,10.63
2006-10-23,76.05,-5.02,152.69771,-360.89093,18.06,11.08
2006-10-24,-55.35,26.68,-97.87944,4.03203,17.75,10.78
2006-10-25,96.15,22.32,51.29201,0.57036,17.18,10.66
2006-10-26,19.7,82.68,-74.53835,57.13488,17.46,10.56
2006-10-27,90.48,26.22,24.37189,-120.27957,17.25,10.8
2006-10-30,39.99,37.81,123.09181,-113.06886,18.07,11.2
2006-10-31,5.07,94.98,160.85538,-141.58313,16.84,11.1
2006-11-01,29.94,3.54,180.89905,-203.01483,15.96,11.51
2006-11-02,95.51,10.74,237.60874,-167.32414,16.06,11.42
2006-11-03,70.77,-24.3,144.61379,-214.67188,15.73,11.16
2006-11-06,-66.59,31.62,36.70449,-180.25228,16.51,11.16
2006-11-07,152.69,-15.41,178.28849,-80.82998,16.31,11.09
2006-11-08,7.9,20.28,-11.54069,-23.55578,16.04,10.75
2006-11-09,139.45,36.7,82.78203,-41.07597,14.7,11.01
2006-11-10,13.34,18.32,33.5745,-91.7044,14.43,10.79
2006-11-13,20.25,10.7,-52.0319,-82.01705,14.94,10.86
2006-11-14,-139.62,197.86,-23.92653,60.33854,14.15,10.5
2006-11-15,-90.46,-14.02,-139.89912,178.75938,14.46,10.31
2006-11-16,9.8,-36.84,-112.66166,106.86533,14.41,10.16
2006-11-17,139.42,-39.22,90.95645,-77.60008,14.29,10.05
2006-11-20,-46.79,74.59,-79.67401,-10.18063,15.46,9.97
2006-11-21,113.58,-13.76,110.74911,-213.49282,14.72,9.9
2006-11-22,194.6,-17.88,118.61175,-94.1893,14.23,10.14
2006-11-23,116.36,-24.18,4.495,-83.36873,14.17,10.14
2006-11-24,192.79,-12.89,110.057,-117.99818,14.28,10.73
2006-11-27,67.76,27.3,9.86592,-90.07239,14.98,12.3
2006-11-28,-64.81,82.54,47.15604,-135.57526,15.46,11.62
2006-11-29,154.5,62.45,271.6451,-143.73738,15.2,10.83
2006-11-30,17.04,42,10.80008,99.01749,14.68,10.91
2006-12-01,27.3,-70.43,-13.85147,46.04491,14.44,11.66
2006-12-04,22.55,47.46,-26.35925,-83.29403,15.68,11.23
2006-12-05,97.6,23.85,-61.21333,80.2438,15.71,11.27
2006-12-06,46.15,35.91,-3.93854,16.8883,16.83,11.33
2006-12-07,91.53,24.81,114.31124,-65.10461,16.79,12.67
2006-12-08,-19.12,-40.29,64.29293,-168.94721,18.23,12.07
2006-12-11,-5.72,-12,-6.96532,-27.05019,17.91,10.71
2006-12-12,-79.27,24.76,-182.39938,145.74102,18.26,10.65
2006-12-13,-169.99,198.7,-29.12222,0.65614,17.33,10.18
2006-12-14,-165.16,470.75,-664.17395,775.56315,16.4,9.97
2006-12-15,-123.8,-2.23,-26.40695,-41.47659,15.1,10.05
2006-12-18,114.04,27.85,8.11663,25.95254,14.23,10.6
2006-12-19,75.7,-16.29,18.32454,-61.15776,14.74,10.3
2006-12-20,155.17,120.24,75.83275,-16.66946,14.65,10.26
2006-12-21,198.8,-19.06,-142.02339,114.43495,14.71,10.53
2006-12-22,178.46,160.83,-27.2904,121.85964,14.65,11.36
2006-12-26,73.62,108.85,-128.4721,159.63377,15.71,11.26
2006-12-27,24.86,-33.34,-52.79197,14.75487,15.5,10.64
2006-12-28,-4.41,107.11,80.44178,-24.79582,15.4,10.99
2007-01-02,-85.14,-27.4,-49.47949,19.42062,15.68,11.56
2007-01-03,-15.43,-69.64,-89.72079,-56.10578,17.25,12.04
2007-01-04,-149.64,-5.43,-139.35406,-90.72606,17.33,11.51
2007-01-05,-376.71,-56.76,-184.34334,-17.53876,17.25,12.14
2007-01-08,-71.97,-104.63,89.92951,-231.76293,18.3,12
2007-01-09,-129.65,-75.57,-24.06391,-10.24666,17.68,11.91
2007-01-10,-279.42,-125.74,-132.50714,-55.77047,18.9,11.47
2007-01-11,-210.2,-31.72,-84.99428,-27.16179,18.69,10.87
2007-01-12,-104.84,-79.96,-52.12107,71.82996,16.54,10.15
2007-01-15,-160.47,-55.78,-272.42471,326.74864,16.68,10.15
2007-01-16,19.08,-47.45,90.2215,-51.76407,16.66,10.74
2007-01-17,-152.34,-12.59,-200.64398,166.77107,16.84,10.59
2007-01-18,64.89,23.55,87.82506,-46.12415,16.91,10.85
2007-01-19,-37.3,-16.04,-130.08946,95.73516,17.48,10.4
2007-01-22,111.11,-34.39,74.12833,-36.85329,17.38,10.77
2007-01-23,32.83,74.41,23.99008,47.36204,17.53,10.34
2007-01-24,118.77,-31.98,74.8039,47.52871,16.73,9.89
2007-01-25,40.27,-38.6,8.86526,76.09313,16.62,11.22
2007-01-26,-105.61,27.25,56.66416,-56.19861,17.23,11.13
2007-01-29,-95.69,2.72,-23.66517,-55.68964,17.9,11.45
2007-01-30,53.8,70.51,157.99661,-102.25582,17.73,10.96
2007-01-31,-151.64,21.2,-94.40625,45.96707,17.99,10.42
2007-02-01,169.19,-38.13,238.18931,7.75889,16.92,10.31
2007-02-02,49.57,30.72,119.1491,351.49976,16.39,10.08
2007-02-05,-61.8,-43.39,-123.26685,278.30501,17.19,10.55
2007-02-06,87.4,-125.64,-78.89973,112.2577,17.29,10.65
2007-02-07,84.54,-50.63,-97.30521,97.66212,17.39,10.32
