"Index","SPVXSP.Index.DailyEndEq"
2008-03-19,0
2008-03-20,0
2008-03-24,-0.0229327000000001
2008-03-25,0
2008-03-26,0.02193016
2008-03-27,-0.00710444000000018
2008-03-28,0.00050764000000013
2008-03-31,-0.01778728
2008-04-01,-0.06578054
2008-04-02,0
2008-04-03,0
2008-04-04,0
2008-04-07,0
2008-04-08,0
2008-04-09,0
2008-04-10,0
2008-04-11,0
2008-04-14,0.00377459999999998
2008-04-15,0.01930155
2008-04-16,0.05620275
2008-04-17,-0.00309945000000007
2008-04-18,0.0317554500000001
2008-04-21,0.0114287999999999
2008-04-22,0
2008-04-23,0
2008-04-24,0
2008-04-25,0
2008-04-28,0
2008-04-29,0
2008-04-30,-0.0219787199999999
2008-05-01,0.05951034
2008-05-02,0.01179954
2008-05-05,-0.00921672000000009
2008-05-06,0
2008-05-07,0
2008-05-08,0
2008-05-09,-0.00908352000000002
2008-05-12,0.03355951
2008-05-13,0.00416993000000005
2008-05-14,0.02114225
2008-05-15,0.0239145399999999
2008-05-16,-0.00912873999999999
2008-05-19,0
2008-05-20,0
2008-05-21,0
2008-05-22,0
2008-05-23,-0.02307417
2008-05-27,0.0306831000000001
2008-05-28,0.00996778000000003
2008-05-29,0.05891615
2008-05-30,0.02225109
2008-06-02,-0.0521418899999999
2008-06-03,-0.0180479100000001
2008-06-04,-0.00344337
2008-06-05,0.0508810499999999
2008-06-06,-0.1017735
2008-06-09,0
2008-06-10,-0.00138240000000002
2008-06-11,-0.02861334
2008-06-12,0.0132523199999999
2008-06-13,0.0382035600000001
2008-06-16,0.01272996
2008-06-17,0
2008-06-18,0
2008-06-19,0
2008-06-20,0
2008-06-23,0
2008-06-24,0.00560969999999995
2008-06-25,-0.0404294399999999
2008-06-26,0
2008-06-27,0
2008-06-30,0
2008-07-01,0
2008-07-02,0
2008-07-03,0
2008-07-07,0
2008-07-08,0
2008-07-09,0
2008-07-10,0
2008-07-11,0
2008-07-14,0.0257687699999999
2008-07-15,0
2008-07-16,0
2008-07-17,0
2008-07-18,-0.00779177999999991
2008-07-21,-0.02407387
2008-07-22,-0.0349503
2008-07-23,0
2008-07-24,0
2008-07-25,0
2008-07-28,0
2008-07-29,0
2008-07-30,-0.0445954700000001
2008-07-31,-0.04540658
2008-08-01,-0.00617081999999995
2008-08-04,0.00423528999999992
2008-08-05,0.04738866
2008-08-06,0.02697088
2008-08-07,-0.0387911599999999
2008-08-08,0
2008-08-11,0
2008-08-12,0
2008-08-13,0
2008-08-14,0
2008-08-15,0
2008-08-18,-0.0137235999999999
2008-08-19,0
2008-08-20,0.0203782599999998
