,BM, MACD ,SAR,ADX,RSI,Stoch,CCI,Program_Nbuy,FI_Nbuy,VIX_Avg,VKOSPI_Avg
2006-07-04 9:00,-0.006944444,-0.006944444,-0.006944444,-0.006944444,-0.006944444,-0.006944444,-0.006944444,-0.006944444,0.006944444,-0.006944444,-0.006944444
2006-07-05 9:00,-0.001388889,-0.001388889,-0.001388889,0.001388889,-0.001388889,-0.001388889,-0.001388889,-0.001388889,0.001388889,-0.001388889,-0.001388889
2006-07-06 9:00,-0.015555556,-0.015555556,-0.015555556,-0.015555556,-0.015555556,-0.015555556,-0.015555556,-0.015555556,0.015555556,-0.015555556,-0.015555556
2006-07-07 9:00,0.012222222,0.012222222,0.012222222,-0.012222222,0.012222222,-0.012222222,-0.012222222,0.012222222,-0.012222222,0.012222222,0.012222222
2006-07-10 9:00,0.021666667,0.021666667,0.021666667,-0.021666667,0.021666667,-0.021666667,-0.021666667,0.021666667,-0.021666667,0.021666667,0.021666667
2006-07-11 9:00,-0.004444444,-0.004444444,-0.004444444,0.004444444,-0.004444444,0.004444444,0.004444444,-0.004444444,-0.004444444,-0.004444444,-0.004444444
2006-07-12 9:00,0,0,0,0,0,0,0,0,0,0,0
2006-07-13 9:00,-0.015555556,-0.015555556,-0.015555556,-0.015555556,-0.015555556,0.015555556,0.015555556,-0.015555556,-0.015555556,-0.015555556,-0.015555556
2006-07-14 9:00,-0.026111111,-0.026111111,-0.026111111,-0.026111111,-0.026111111,0.026111111,0.026111111,-0.026111111,-0.026111111,-0.026111111,-0.026111111
2006-07-18 9:00,-0.011666667,-0.011666667,-0.011666667,0.011666667,-0.011666667,0.011666667,0.011666667,-0.011666667,-0.011666667,0.011666667,-0.011666667
2006-07-19 9:00,0.004444444,0.004444444,-0.004444444,-0.004444444,0.004444444,-0.004444444,-0.004444444,0.004444444,0.004444444,-0.004444444,0.004444444
2006-07-20 9:00,0.033333333,0.033333333,-0.033333333,-0.033333333,0.033333333,-0.033333333,-0.033333333,0.033333333,0.033333333,-0.033333333,0.033333333
2006-07-21 9:00,-0.003888889,0.003888889,0.003888889,0.003888889,-0.003888889,0.003888889,0.003888889,-0.003888889,-0.003888889,0.003888889,-0.003888889
2006-07-24 9:00,-0.005,-0.005,0.005,0.005,-0.005,0.005,0.005,-0.005,-0.005,0.005,-0.005
2006-07-25 9:00,0.015277778,0.015277778,-0.015277778,-0.015277778,0.015277778,-0.015277778,-0.015277778,0.015277778,0.015277778,-0.015277778,0.015277778
2006-07-26 9:00,-0.003611111,-0.003611111,0.003611111,0.003611111,-0.003611111,0.003611111,0.003611111,-0.003611111,-0.003611111,-0.003611111,-0.003611111
2006-07-27 9:00,0.015277778,0.015277778,-0.015277778,0.015277778,0.015277778,-0.015277778,-0.015277778,0.015277778,0.015277778,0.015277778,0.015277778
2006-07-28 9:00,0.001944444,0.001944444,-0.001944444,0.001944444,0.001944444,-0.001944444,-0.001944444,0.001944444,0.001944444,0.001944444,0.001944444
2006-07-31 9:00,-0.003333333,-0.003333333,-0.003333333,-0.003333333,-0.003333333,0.003333333,0.003333333,-0.003333333,-0.003333333,-0.003333333,-0.003333333
2006-08-01 9:00,-0.004444444,-0.004444444,-0.004444444,-0.004444444,-0.004444444,0.004444444,0.004444444,-0.004444444,-0.004444444,-0.004444444,-0.004444444
2006-08-02 9:00,0.007222222,0.007222222,0.007222222,0.007222222,0.007222222,-0.007222222,-0.007222222,0.007222222,0.007222222,0.007222222,0.007222222
2006-08-03 9:00,-0.001388889,-0.001388889,-0.001388889,-0.001388889,-0.001388889,0.001388889,0.001388889,-0.001388889,-0.001388889,-0.001388889,-0.001388889
2006-08-04 9:00,0.006111111,0.006111111,0.006111111,0.006111111,0.006111111,-0.006111111,-0.006111111,0.006111111,0.006111111,0.006111111,0.006111111
2006-08-07 9:00,-0.010833333,-0.010833333,-0.010833333,-0.010833333,-0.010833333,0.010833333,0.010833333,-0.010833333,-0.010833333,-0.010833333,-0.010833333
2006-08-08 9:00,0.013611111,0.013611111,0.013611111,0.013611111,0.013611111,-0.013611111,-0.013611111,0.013611111,0.013611111,0.013611111,0.013611111
2006-08-09 9:00,0.009722222,0.009722222,0.009722222,0.009722222,0.009722222,-0.009722222,-0.009722222,0.009722222,0.009722222,0.009722222,0.009722222
2006-08-10 9:00,-0.008611111,-0.008611111,-0.008611111,-0.008611111,-0.008611111,0.008611111,0.008611111,-0.008611111,-0.008611111,-0.008611111,-0.008611111
2006-08-11 9:00,-0.013055556,-0.013055556,-0.013055556,-0.013055556,-0.013055556,0.013055556,0.013055556,-0.013055556,-0.013055556,-0.013055556,-0.013055556
2006-08-14 9:00,0.001388889,0.001388889,0.001388889,0.001388889,0.001388889,-0.001388889,-0.001388889,0.001388889,0.001388889,0.001388889,0.001388889
2006-08-16 9:00,0.018611111,0.018611111,0.018611111,0.018611111,0.018611111,-0.018611111,-0.018611111,0.018611111,0.018611111,0.018611111,0.018611111
2006-08-17 9:00,0.008333333,0.008333333,0.008333333,0.008333333,0.008333333,-0.008333333,-0.008333333,0.008333333,0.008333333,0.008333333,0.008333333
2006-08-18 9:00,0.004166667,0.004166667,0.004166667,0.004166667,0.004166667,-0.004166667,-0.004166667,0.004166667,0.004166667,0.004166667,0.004166667
2006-08-21 9:00,-0.008888889,-0.008888889,-0.008888889,-0.008888889,-0.008888889,0.008888889,0.008888889,-0.008888889,-0.008888889,-0.008888889,-0.008888889
2006-08-22 9:00,0.010833333,0.010833333,0.010833333,0.010833333,0.010833333,-0.010833333,-0.010833333,0.010833333,0.010833333,0.010833333,0.010833333
2006-08-23 9:00,-0.008888889,-0.008888889,-0.008888889,-0.008888889,-0.008888889,0.008888889,0.008888889,-0.008888889,-0.008888889,-0.008888889,-0.008888889
2006-08-24 9:00,-0.005555556,-0.005555556,-0.005555556,-0.005555556,-0.005555556,0.005555556,0.005555556,-0.005555556,-0.005555556,-0.005555556,-0.005555556
2006-08-25 9:00,0.010277778,0.010277778,0.010277778,0.010277778,0.010277778,-0.010277778,-0.010277778,0.010277778,0.010277778,0.010277778,0.010277778
2006-08-28 9:00,-0.003055556,-0.003055556,-0.003055556,-0.003055556,-0.003055556,0.003055556,0.003055556,-0.003055556,-0.003055556,-0.003055556,-0.003055556
2006-08-29 9:00,0.011666667,0.011666667,0.011666667,0.011666667,0.011666667,-0.011666667,-0.011666667,0.011666667,0.011666667,0.011666667,0.011666667
2006-08-30 9:00,-0.001944444,-0.001944444,-0.001944444,-0.001944444,-0.001944444,0.001944444,0.001944444,-0.001944444,-0.001944444,-0.001944444,-0.001944444
2006-08-31 9:00,0.005277778,0.005277778,0.005277778,0.005277778,0.005277778,-0.005277778,-0.005277778,0.005277778,0.005277778,0.005277778,0.005277778
2006-09-01 9:00,0.002222222,0.002222222,0.002222222,0.002222222,0.002222222,-0.002222222,-0.002222222,0.002222222,0.002222222,0.002222222,0.002222222
2006-09-04 9:00,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,-0.001111111,-0.001111111,0.001111111,0.001111111,0.001111111,0.001111111
2006-09-05 9:00,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,-0.006666667,-0.006666667,0.006666667,0.006666667,0.006666667,0.006666667
2006-09-06 9:00,-0.007222222,-0.007222222,-0.007222222,-0.007222222,-0.007222222,0.007222222,0.007222222,-0.007222222,-0.007222222,-0.007222222,-0.007222222
2006-09-07 9:00,-0.004166667,-0.004166667,-0.004166667,-0.004166667,-0.004166667,0.004166667,0.004166667,-0.004166667,-0.004166667,-0.004166667,-0.004166667
2006-09-08 9:00,0.004166667,0.004166667,0.004166667,0.004166667,-0.004166667,-0.004166667,-0.004166667,-0.004166667,0.004166667,0.004166667,0.004166667
2006-09-11 9:00,-0.018888889,-0.018888889,0.018888889,-0.018888889,0.018888889,0.018888889,0.018888889,0.018888889,-0.018888889,-0.018888889,-0.018888889
2006-09-12 9:00,-0.003888889,0.003888889,0.003888889,-0.003888889,0.003888889,0.003888889,0.003888889,-0.003888889,-0.003888889,-0.003888889,-0.003888889
2006-09-13 9:00,0.001944444,-0.001944444,-0.001944444,0.001944444,-0.001944444,-0.001944444,-0.001944444,0.001944444,0.001944444,0.001944444,0.001944444
2006-09-14 9:00,0.015833333,-0.015833333,-0.015833333,-0.015833333,-0.015833333,-0.015833333,-0.015833333,-0.015833333,0.015833333,0.015833333,0.015833333
2006-09-15 9:00,0.012777778,-0.012777778,-0.012777778,-0.012777778,-0.012777778,-0.012777778,-0.012777778,-0.012777778,0.012777778,0.012777778,0.012777778
2006-09-18 9:00,0.007777778,-0.007777778,-0.007777778,0.007777778,-0.007777778,-0.007777778,-0.007777778,-0.007777778,0.007777778,0.007777778,0.007777778
2006-09-19 9:00,-0.001111111,0.001111111,-0.001111111,-0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,-0.001111111,-0.001111111
2006-09-20 9:00,-0.000277778,-0.000277778,-0.000277778,-0.000277778,0.000277778,0.000277778,0.000277778,-0.000277778,-0.000277778,-0.000277778,-0.000277778
2006-09-21 9:00,-0.0025,-0.0025,-0.0025,-0.0025,0.0025,0.0025,0.0025,0.0025,-0.0025,-0.0025,-0.0025
2006-09-22 9:00,-0.012777778,-0.012777778,-0.012777778,-0.012777778,0.012777778,0.012777778,0.012777778,-0.012777778,-0.012777778,-0.012777778,-0.012777778
2006-09-25 9:00,0.005555556,0.005555556,0.005555556,0.005555556,-0.005555556,-0.005555556,-0.005555556,0.005555556,0.005555556,0.005555556,0.005555556
2006-09-26 9:00,-0.009444444,0.009444444,-0.009444444,-0.009444444,0.009444444,0.009444444,0.009444444,-0.009444444,-0.009444444,-0.009444444,-0.009444444
2006-09-27 9:00,0.015,-0.015,0.015,0.015,-0.015,-0.015,-0.015,0.015,0.015,0.015,0.015
2006-09-28 9:00,0.006111111,-0.006111111,0.006111111,-0.006111111,-0.006111111,-0.006111111,-0.006111111,0.006111111,-0.006111111,0.006111111,0.006111111
2006-09-29 9:00,-0.001666667,0.001666667,-0.001666667,-0.001666667,0.001666667,0.001666667,0.001666667,-0.001666667,-0.001666667,-0.001666667,-0.001666667
2006-10-02 9:00,0.002777778,-0.002777778,0.002777778,0.002777778,-0.002777778,-0.002777778,-0.002777778,0.002777778,-0.002777778,0.002777778,0.002777778
2006-10-04 9:00,-0.013888889,0.013888889,-0.013888889,-0.013888889,0.013888889,0.013888889,0.013888889,-0.013888889,-0.013888889,-0.013888889,-0.013888889
2006-10-09 9:00,-0.025555556,-0.025555556,-0.025555556,-0.025555556,0.025555556,0.025555556,0.025555556,-0.025555556,0.025555556,-0.025555556,-0.025555556
2006-10-10 9:00,0.009444444,-0.009444444,0.009444444,-0.009444444,-0.009444444,-0.009444444,-0.009444444,0.009444444,-0.009444444,0.009444444,0.009444444
2006-10-11 9:00,-0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,0.001111111,-0.001111111,-0.001111111,-0.001111111,0.001111111
2006-10-12 9:00,0.008333333,-0.008333333,-0.008333333,-0.008333333,-0.008333333,-0.008333333,-0.008333333,0.008333333,0.008333333,0.008333333,-0.008333333
2006-10-13 9:00,0.009444444,-0.009444444,-0.009444444,-0.009444444,-0.009444444,-0.009444444,-0.009444444,0.009444444,0.009444444,0.009444444,-0.009444444
2006-10-16 9:00,0.005277778,-0.005277778,-0.005277778,-0.005277778,-0.005277778,-0.005277778,-0.005277778,-0.005277778,0.005277778,0.005277778,-0.005277778
2006-10-17 9:00,-0.003611111,0.003611111,0.003611111,0.003611111,0.003611111,0.003611111,0.003611111,0.003611111,-0.003611111,-0.003611111,0.003611111
2006-10-18 9:00,0.001666667,-0.001666667,-0.001666667,-0.001666667,-0.001666667,-0.001666667,-0.001666667,-0.001666667,0.001666667,0.001666667,0.001666667
2006-10-19 9:00,-0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,-0.002777778,-0.002777778,-0.002777778
2006-10-20 9:00,0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,0.0075,0.0075,0.0075
2006-10-23 9:00,0.000277778,-0.000277778,-0.000277778,-0.000277778,-0.000277778,-0.000277778,-0.000277778,-0.000277778,0.000277778,0.000277778,0.000277778
2006-10-24 9:00,0.000555556,0.000555556,0.000555556,-0.000555556,-0.000555556,-0.000555556,-0.000555556,-0.000555556,0.000555556,0.000555556,0.000555556
2006-10-25 9:00,0.002777778,0.002777778,0.002777778,-0.002777778,-0.002777778,-0.002777778,-0.002777778,-0.002777778,0.002777778,0.002777778,0.002777778
2006-10-26 9:00,0.0025,0.0025,0.0025,-0.0025,-0.0025,-0.0025,-0.0025,-0.0025,0.0025,0.0025,0.0025
2006-10-27 9:00,-0.002777778,-0.002777778,-0.002777778,-0.002777778,0.002777778,0.002777778,0.002777778,-0.002777778,-0.002777778,-0.002777778,-0.002777778
